patterns, probability of distruction, occurrences
26,0.14,10717.2
26,0.15,10646.5
26,0.16,10598.2
26,0.17,10539.9
26,0.18,10477.8
26,0.19,10417.2
26,0.2,10358.6
26,0.21,10285.5
26,0.22,10198.9
26,0.23,10149.7
26,0.24,10088.3
26,0.25,10011.9
26,0.26,9946.12
26,0.27,9844.38
26,0.28,9780.37
26,0.29,9703.41
26,0.3,9632.3
26,0.31,9552.85
26,0.32,9464.4
26,0.33,9384.66
26,0.34,9296.83
26,0.35,9214.51
26,0.36,9138.77
26,0.37,9024.99
26,0.38,8955.54
26,0.39,8853.59
26,0.4,8771.34
26,0.41,8670.73
26,0.42,8588.19
26,0.43,8484.08
26,0.44,8374.98
26,0.45,8287.35
26,0.46,8182.08
26,0.47,8070.73
26,0.48,7963.11
26,0.49,7876.35
26,0.5,7755.45
26,0.51,7655.35
26,0.52,7534.84
26,0.53,7427.91
26,0.54,7316.16
26,0.55,7177.48
26,0.56,7059.71
26,0.57,6968.45
26,0.58,6841.55
26,0.59,6668.61
26,0.6,6604.3
26,0.61,6502.46
26,0.62,6356.57
26,0.63,6149.74
26,0.64,6098.02
26,0.65,5962.29
26,0.66,5828.96
26,0.67,5698.03
26,0.68,5572.55
26,0.69,5456.38
26,0.7,5115.59
26,0.71,5148.52
26,0.72,5015.26
26,0.73,4862.74
26,0.74,4371.43
26,0.75,4576.95
26,0.76,4433.69
26,0.77,4270.05
26,0.78,4117.43
26,0.79,3976.07
27,0,11341.1
27,0.01,11469.9
27,0.02,11570.1
27,0.03,11629.1
27,0.04,11683.1
27,0.05,11720.2
27,0.06,11734.2
27,0.07,11755.3
27,0.08,11763.5
27,0.09,11764.7
27,0.1,11766.3
27,0.11,11747.2
27,0.12,11732.7
27,0.13,11718.7
27,0.14,11687.2
27,0.15,11648.6
27,0.16,11626.3
27,0.17,11585
27,0.18,11544.6
27,0.19,11498.8
27,0.2,11464.1
27,0.21,11400.2
27,0.22,11347.5
27,0.23,11302.5
27,0.24,11240
27,0.25,11176.5
27,0.26,11116.4
27,0.27,11049.7
27,0.28,10970.6
27,0.29,10931.1
27,0.3,10825.1
27,0.31,10760.8
27,0.32,10681.9
27,0.33,10599.2
27,0.34,10518
27,0.35,10423.8
27,0.36,10345.4
27,0.37,10259.8
27,0.38,10159.2
27,0.39,10075.7
27,0.4,9957.85
27,0.41,9869.29
27,0.42,9770.44
27,0.43,9673.1
27,0.44,9575.13
27,0.45,9477.1
27,0.46,9357.94
27,0.47,9224.58
27,0.48,9127.02
27,0.49,9020.45
27,0.5,8912.1
27,0.51,8771.48
27,0.52,8671.78
27,0.53,8533.38
27,0.54,8403
27,0.55,8314.06
27,0.56,8177.38
27,0.57,8020.54
27,0.58,7913.04
27,0.59,7771.81
27,0.6,7624.31
27,0.61,7459.43
27,0.62,7357.58
27,0.63,7211.87
27,0.64,6949.58
27,0.65,6922.87
27,0.66,6777.2
27,0.67,6621.26
27,0.68,6324.28
27,0.69,6337
27,0.7,6162.53
27,0.71,5864.93
27,0.72,5860.5
27,0.73,5644.27
27,0.74,5492.94
27,0.75,5340.56
27,0.76,5164.31
27,0.77,4977.88
27,0.78,4765.27
27,0.79,4626.45
28,0,11430.9
28,0.01,11401.1
28,0.02,11380.5
28,0.03,11350.4
28,0.04,11315.9
28,0.05,11266.4
28,0.06,11226.6
28,0.07,11191.2
28,0.08,11169.4
28,0.09,11105.8
28,0.1,11064.5
28,0.11,11021.4
28,0.12,10968.5
28,0.13,10922.9
28,0.14,10857.9
28,0.15,10815.3
28,0.16,10747.7
28,0.17,10694
28,0.18,10629.9
28,0.19,10564.3
28,0.2,10505
28,0.21,10435.3
28,0.22,10362.6
28,0.23,10296.8
28,0.24,10230.9
28,0.25,10153.3
28,0.26,10082
28,0.27,10000.6
28,0.28,9932.72
28,0.29,9849.98
28,0.3,9764.7
28,0.31,9686.61
28,0.32,9601.3
28,0.33,9523.13
28,0.34,9430.46
28,0.35,9340.26
28,0.36,9247.48
28,0.37,9164.04
28,0.38,9072.07
28,0.39,8984.74
28,0.4,8891.89
28,0.41,8792.85
28,0.42,8698.14
28,0.43,8597.43
28,0.44,8490.71
28,0.45,8403.8
28,0.46,8302.33
28,0.47,8187
28,0.48,8072.55
28,0.49,7975.61
28,0.5,7863.35
28,0.51,7747.13
28,0.52,7648.27
28,0.53,7524.08
28,0.54,7407.93
28,0.55,7267.06
28,0.56,7189.52
28,0.57,7050.08
28,0.58,6947.44
28,0.59,6838.23
28,0.6,6686.75
28,0.61,6565.77
28,0.62,6381.23
28,0.63,6298.62
28,0.64,6194.22
28,0.65,6022.72
28,0.66,5919.01
28,0.67,5778.82
28,0.68,5672.99
28,0.69,5318.92
28,0.7,5374.83
28,0.71,5232.5
28,0.72,5037.4
28,0.73,4928.6
28,0.74,4772.79
28,0.75,4638.81
28,0.76,4354.73
28,0.77,4342.82
28,0.78,4164.26
28,0.79,3704.44
29,0,11507.4
29,0.01,11638.4
29,0.02,11737.6
29,0.03,11786.5
29,0.04,11834.5
29,0.05,11861.6
29,0.06,11894.5
29,0.07,11907.7
29,0.08,11900.8
29,0.09,11912.3
29,0.1,11904.4
29,0.11,11896.3
29,0.12,11870.7
29,0.13,11859
29,0.14,11824.7
29,0.15,11788.9
29,0.16,11763.4
29,0.17,11713.5
29,0.18,11680
29,0.19,11632.2
29,0.2,11592.3
29,0.21,11523.6
29,0.22,11467.7
29,0.23,11412.9
29,0.24,11358.4
29,0.25,11305.6
29,0.26,11224
29,0.27,11169.9
29,0.28,11090.6
29,0.29,11016.2
29,0.3,10952.7
29,0.31,10867
29,0.32,10782.7
29,0.33,10704
29,0.34,10613.9
29,0.35,10525.7
29,0.36,10449.4
29,0.37,10343.8
29,0.38,10262.8
29,0.39,10159.2
29,0.4,10066.5
29,0.41,9969.91
29,0.42,9866.29
29,0.43,9775.01
29,0.44,9657.43
29,0.45,9539.44
29,0.46,9418.97
29,0.47,9314.78
29,0.48,9202.23
